Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？
0,,0,,0,0,1,0,0,,0
1,,0,,0,0,0,0,0,,0
2,,0,,0,0,0,0,0,,0
3,,0,,0,0,0,0,0,,0
4,,0,,0,0,0,0,0,,0
5,,0,,0,0,0,0,0,,0
6,,0,,0,0,0,0,0,,0
7,,0,,0,0,0,0,0,,0
8,,0,,0,0,0,0,0,,0
9,,0,,0,0,0,0,0,,0
10,,0,,0,0,0,0,0,,0
11,,0,,0,0,0,0,0,,0
12,,0,,0,0,0,0,0,,0
13,,0,,0,0,0,0,0,,0
14,,0,,0,0,0,0,0,,0
15,,0,,0,0,0,0,0,,0
16,,0,,0,0,0,0,0,,0
17,,0,,0,0,0,0,0,,0
18,行会理符,0,,0,0,1,0,0,,0
19,,0,,0,0,1,0,0,,0
20,海德林,0,,0,0,1,0,0,,0
21,艾欧泽亚,0,,0,0,1,0,0,,0
22,拉诺西亚,0,,0,0,1,0,0,,0
23,黑衣森林,0,,0,0,1,0,0,,0
24,萨纳兰,0,,0,0,1,0,0,,0
25,库尔札斯,0,,0,0,1,0,0,,0
26,摩杜纳,0,,0,0,1,0,0,,0
27,利姆萨·罗敏萨,0,,0,0,1,0,0,,0
28,利姆萨·罗敏萨上层甲板,0,,0,0,1,0,0,,0
29,利姆萨·罗敏萨下层甲板,0,,0,0,1,0,0,,0
30,中拉诺西亚,0,,0,0,1,0,0,,0
31,拉诺西亚低地,0,,0,0,1,0,0,,0
32,东拉诺西亚,0,,0,0,1,0,0,,0
33,西拉诺西亚,0,,0,0,1,0,0,,0
34,拉诺西亚高地,0,,0,0,1,0,0,,0
35,沙斯塔夏溶洞,0,,0,0,1,0,0,,0
36,布雷福洛克斯野营地,0,,0,0,1,0,0,,0
37,放浪神古神殿,0,,0,0,1,0,0,,0
38,,0,,0,0,0,0,0,,0
39,格里达尼亚,0,,0,0,1,0,0,,0
40,乌尔达哈现世回廊,0,,0,0,1,0,0,,0
41,乌尔达哈来生回廊,0,,0,0,1,0,0,,0
42,西萨纳兰,0,,0,0,1,0,0,,0
43,中萨纳兰,0,,0,0,1,0,0,,0
44,东萨纳兰,0,,0,0,1,0,0,,0
45,南萨纳兰,0,,0,0,1,0,0,,0
46,北萨纳兰,0,,0,0,1,0,0,,0
47,樵鸣洞,0,,0,0,1,0,0,,0
48,铜铃铜山,0,,0,0,1,0,0,,0
49,日影地修炼所,0,,0,0,1,0,0,,0
50,喀恩埋没圣堂,0,,0,0,1,0,0,,0
51,乌尔达哈,0,,0,0,1,0,0,,0
52,格里达尼亚新街,0,,0,0,1,0,0,,0
53,格里达尼亚旧街,0,,0,0,1,0,0,,0
54,黑衣森林中央林区,0,,0,0,1,0,0,,0
55,黑衣森林东部林区,0,,0,0,1,0,0,,0
56,黑衣森林南部林区,0,,0,0,1,0,0,,0
57,黑衣森林北部林区,0,,0,0,1,0,0,,0
58,塔姆·塔拉墓园,0,,0,0,1,0,0,,0
59,静语庄园,0,,0,0,1,0,0,,0
60,,0,,0,0,0,0,0,,0
61,托托·拉克千狱,0,,0,0,1,0,0,,0
62,伊修加德,0,,0,0,1,0,0,,0
63,库尔札斯中央高地,0,,0,0,1,0,0,,0
64,泽梅尔要塞,0,,0,0,1,0,0,,0
65,黄金谷,0,,0,0,1,0,0,,0
66,东方地域,0,,0,0,1,0,0,,0
67,摩杜纳,0,,0,0,1,0,0,,0
68,翡翠湖滨,0,,0,0,1,0,0,,0
69,翠泪择伐区,0,,0,0,1,0,0,,0
70,弯枝,0,,0,0,1,0,0,,0
71,酸模避风港,0,,0,0,1,0,0,,0
72,朽骨森,0,,0,0,1,0,0,,0
73,蜜场,0,,0,0,1,0,0,,0
74,九藤,0,,0,0,1,0,0,,0
75,荆棘森,0,,0,0,1,0,0,,0
76,百灵啼,0,,0,0,1,0,0,,0
77,妖精领,0,,0,0,1,0,0,,0
78,高径,0,,0,0,1,0,0,,0
79,低径,0,,0,0,1,0,0,,0
80,蛇蜕林,0,,0,0,1,0,0,,0
81,沉默花坛,0,,0,0,1,0,0,,0
82,兀尔德恩惠地,0,,0,0,1,0,0,,0
83,私语巨木,0,,0,0,1,0,0,,0
84,和平苑,0,,0,0,1,0,0,,0
85,桤木泉,0,,0,0,1,0,0,,0
86,荣耀溪,0,,0,0,1,0,0,,0
87,青貉门,0,,0,0,1,0,0,,0
88,白狼门,0,,0,0,1,0,0,,0
89,基尔波特哨塔,0,,0,0,1,0,0,,0
90,烤饼练兵所,0,,0,0,1,0,0,,0
91,加比诺老爹的小屋,0,,0,0,1,0,0,,0
92,裸岩丘,0,,0,0,1,0,0,,0
93,沃连牢狱,0,,0,0,1,0,0,,0
94,弯枝牧场,0,,0,0,1,0,0,,0
95,加尔梵斯哨塔,0,,0,0,1,0,0,,0
96,地母神忘迹,0,,0,0,1,0,0,,0
97,塔姆·塔拉墓园,0,,0,0,1,0,0,,0
98,镜池栈桥,0,,0,0,1,0,0,,0
99,睡莲岩,0,,0,0,1,0,0,,0
100,境树,0,,0,0,1,0,0,,0
101,常影区,0,,0,0,1,0,0,,0
102,静语庄园,0,,0,0,1,0,0,,0
103,血祭台,0,,0,0,1,0,0,,0
104,萌芽池,0,,0,0,1,0,0,,0
105,龙纹岩,0,,0,0,1,0,0,,0
106,魔石精巢穴,0,,0,0,1,0,0,,0
107,霍桑山寨,0,,0,0,1,0,0,,0
108,境树,0,,0,0,1,0,0,,0
109,,0,,0,0,0,0,0,,0
110,阿马里赛哨塔,0,,0,0,1,0,0,,0
111,帝国东方堡,0,,0,0,1,0,0,,0
112,十二神大圣堂,0,,0,0,1,0,0,,0
113,妖精暂留地,0,,0,0,1,0,0,,0
114,月芽丛,0,,0,0,1,0,0,,0
115,摇篮树,0,,0,0,1,0,0,,0
116,金叶台,0,,0,0,1,0,0,,0
117,悬钩群,0,,0,0,1,0,0,,0
118,巴斯卡隆监视所遗址,0,,0,0,1,0,0,,0
119,巴斯卡隆酒家,0,,0,0,1,0,0,,0
120,托托·拉克千狱,0,,0,0,1,0,0,,0
121,空居,0,,0,0,1,0,0,,0
122,无人庵,0,,0,0,1,0,0,,0
123,恬静路营地,0,,0,0,1,0,0,,0
124,,0,,0,0,0,0,0,,0
125,无限城市街古迹,0,,0,0,1,0,0,,0
126,蔓根沼,0,,0,0,1,0,0,,0
127,森南飞艇坪,0,,0,0,1,0,0,,0
128,无限城古堡,0,,0,0,1,0,0,,0
129,石场水车,0,,0,0,1,0,0,,0
130,红腹蜂巢,0,,0,0,1,0,0,,0
131,哥布林族野营地,0,,0,0,1,0,0,,0
132,枯叶堆,0,,0,0,1,0,0,,0
133,兀尔德泉,0,,0,0,1,0,0,,0
134,,0,,0,0,0,0,0,,0
135,黄蛇门,0,,0,0,1,0,0,,0
136,私语巨木鸟栏,0,,0,0,1,0,0,,0
137,艾·塔塔哨塔,0,,0,0,1,0,0,,0
138,境树,0,,0,0,1,0,0,,0
139,林场水车,0,,0,0,1,0,0,,0
140,秋瓜浮村,0,,0,0,1,0,0,,0
141,浮栓亭,0,,0,0,1,0,0,,0
142,弗洛朗泰尔哨塔,0,,0,0,1,0,0,,0
143,山人岩穴,0,,0,0,1,0,0,,0
144,格尔莫拉遗迹,0,,0,0,1,0,0,,0
145,鸟人军采伐所,0,,0,0,1,0,0,,0
146,欧金尼娅哨塔,0,,0,0,1,0,0,,0
147,初学者学堂,0,,0,0,1,0,0,,0
148,,0,,0,0,0,0,0,,0
149,,0,,0,0,0,0,0,,0
150,,0,,0,0,0,0,0,,0
151,栖木旅馆,0,,0,0,1,0,0,,0
152,艾欧泽亚地下空间,0,,0,0,1,0,0,,0
153,陌迪翁牢狱,0,,0,0,1,0,0,,0
154,群狼困斗,0,,0,0,1,0,0,,0
155,花蜜栈桥,0,,0,0,1,0,0,,0
156,西叶脉,0,,0,0,1,0,0,,0
157,东叶脉,0,,0,0,1,0,0,,0
158,若斯兰哨塔,0,,0,0,1,0,0,,0
159,盛花养蜂场,0,,0,0,1,0,0,,0
160,元灵幼树,0,,0,0,1,0,0,,0
161,和风流地,0,,0,0,1,0,0,,0
162,盛夏滩,0,,0,0,1,0,0,,0
163,三星里弯陷,0,,0,0,1,0,0,,0
164,莫拉比湾,0,,0,0,1,0,0,,0
165,雪松原,0,,0,0,1,0,0,,0
166,神握角,0,,0,0,1,0,0,,0
167,鲜血滨,0,,0,0,1,0,0,,0
168,接雨草树林,0,,0,0,1,0,0,,0
169,永恒旧街,0,,0,0,1,0,0,,0
170,四分石地,0,,0,0,1,0,0,,0
171,骷髅谷,0,,0,0,1,0,0,,0
172,二分石地,0,,0,0,1,0,0,,0
173,幻影群岛,0,,0,0,1,0,0,,0
174,橡树原,0,,0,0,1,0,0,,0
175,登天路,0,,0,0,1,0,0,,0
176,黑金湖,0,,0,0,1,0,0,,0
177,石绿湖,0,,0,0,1,0,0,,0
178,泽尔玛溪谷,0,,0,0,1,0,0,,0
179,和风陆门,0,,0,0,1,0,0,,0
180,加拉迪翁湾,0,,0,0,1,0,0,,0
181,德内维尔西路,0,,0,0,1,0,0,,0
182,无赖川,0,,0,0,1,0,0,,0
183,拉撒格兰关,0,,0,0,1,0,0,,0
184,盛夏农庄,0,,0,0,1,0,0,,0
185,海词石窟,0,,0,0,1,0,0,,0
186,永恒川,0,,0,0,1,0,0,,0
187,岩锅,0,,0,0,1,0,0,,0
188,开垦者小仓,0,,0,0,1,0,0,,0
189,横断崖,0,,0,0,1,0,0,,0
190,天梯,0,,0,0,1,0,0,,0
191,德内维尔关,0,,0,0,1,0,0,,0
192,轻声谷,0,,0,0,1,0,0,,0
193,尼姆河,0,,0,0,1,0,0,,0
194,前桅塔,0,,0,0,1,0,0,,0
195,错乱桥,0,,0,0,1,0,0,,0
196,眼镜岩,0,,0,0,1,0,0,,0
197,遗孀泪,0,,0,0,1,0,0,,0
198,暴风陆门,0,,0,0,1,0,0,,0
199,奥修昂大桥,0,,0,0,1,0,0,,0
200,赤血雄鸡农场,0,,0,0,1,0,0,,0
201,灰舰风车群,0,,0,0,1,0,0,,0
202,盲铁坑道,0,,0,0,1,0,0,,0
203,拉撒格兰东路,0,,0,0,1,0,0,,0
204,废弃小屋,0,,0,0,1,0,0,,0
205,白鸥塔,0,,0,0,1,0,0,,0
206,太阳海岸,0,,0,0,1,0,0,,0
207,永恒川,0,,0,0,1,0,0,,0
208,渡轮码头,0,,0,0,1,0,0,,0
209,伽洛克巢洞,0,,0,0,1,0,0,,0
210,隐秘瀑布码头,0,,0,0,1,0,0,,0
211,隐秘瀑布,0,,0,0,1,0,0,,0
212,布雷福洛克斯野营地,0,,0,0,1,0,0,,0
213,断弦亭,0,,0,0,1,0,0,,0
214,红螳螂瀑布,0,,0,0,1,0,0,,0
215,接雨草树林码头,0,,0,0,1,0,0,,0
216,葡萄酒港,0,,0,0,1,0,0,,0
217,帝国西方堡,0,,0,0,1,0,0,,0
218,雨燕塔殖民地,0,,0,0,1,0,0,,0
219,渡渡鸟巢营,0,,0,0,1,0,0,,0
220,酿酒师灯塔,0,,0,0,1,0,0,,0
221,德内维尔西路,0,,0,0,1,0,0,,0
222,沙斯塔夏溶洞,0,,0,0,1,0,0,,0
223,小麦酒港,0,,0,0,1,0,0,,0
224,骷髅谷营地,0,,0,0,1,0,0,,0
225,卫士军墓,0,,0,0,1,0,0,,0
226,北防波堤,0,,0,0,1,0,0,,0
227,南防波堤,0,,0,0,1,0,0,,0
228,船舶墓场,0,,0,0,1,0,0,,0
229,永夏岛,0,,0,0,1,0,0,,0
230,天狼星灯塔,0,,0,0,1,0,0,,0
231,梅梅卢恩交易站,0,,0,0,1,0,0,,0
232,贫女材场,0,,0,0,1,0,0,,0
233,撒拉奥斯的遗骸,0,,0,0,1,0,0,,0
234,愚者瀑布,0,,0,0,1,0,0,,0
235,隐者庵,0,,0,0,1,0,0,,0
236,尼姆浮游遗迹,0,,0,0,1,0,0,,0
237,瞭望阵营地,0,,0,0,1,0,0,,0
238,武伽玛罗武装矿山,0,,0,0,1,0,0,,0
239,石绿湖营地,0,,0,0,1,0,0,,0
240,放浪神古神殿,0,,0,0,1,0,0,,0
241,吉吉卢恩交易站,0,,0,0,1,0,0,,0
242,地灵军试掘地,0,,0,0,1,0,0,,0
243,金锤台地,0,,0,0,1,0,0,,0
244,地平,0,,0,0,1,0,0,,0
245,足迹谷,0,,0,0,1,0,0,,0
246,西风岬,0,,0,0,1,0,0,,0
247,无刺盆地,0,,0,0,1,0,0,,0
248,黑尘,0,,0,0,1,0,0,,0
249,执掌峡谷,0,,0,0,1,0,0,,0
250,枯骨,0,,0,0,1,0,0,,0
251,沙门,0,,0,0,1,0,0,,0
252,新植林,0,,0,0,1,0,0,,0
253,火墙,0,,0,0,1,0,0,,0
254,秽水,0,,0,0,1,0,0,,0
255,赞拉克,0,,0,0,1,0,0,,0
256,红迷宫,0,,0,0,1,0,0,,0
257,撒沟厉沙漠,0,,0,0,1,0,0,,0
258,蓝雾,0,,0,0,1,0,0,,0
259,劳班缓冲地,0,,0,0,1,0,0,,0
260,帝国南方堡,0,,0,0,1,0,0,,0
261,萨萨莫八十罪梯,0,,0,0,1,0,0,,0
262,烽火岭灯塔,0,,0,0,1,0,0,,0
263,毒蝎交易所,0,,0,0,1,0,0,,0
264,丰饶神井,0,,0,0,1,0,0,,0
265,一号打桩塔,0,,0,0,1,0,0,,0
266,白银集市,0,,0,0,1,0,0,,0
267,铜铃铜山,0,,0,0,1,0,0,,0
268,日升门,0,,0,0,1,0,0,,0
269,日落门,0,,0,0,1,0,0,,0
270,亚拉戈旭日路,0,,0,0,1,0,0,,0
271,地平关,0,,0,0,1,0,0,,0
272,月牙湾,0,,0,0,1,0,0,,0
273,不语王像,0,,0,0,1,0,0,,0
274,黄昏湾,0,,0,0,1,0,0,,0
275,月滴洞,0,,0,0,1,0,0,,0
276,帕拉塔安息地,0,,0,0,1,0,0,,0
277,帝国军前哨基地,0,,0,0,1,0,0,,0
278,弃石贫民窟,0,,0,0,1,0,0,,0
279,菲斯卡冒险者营地,0,,0,0,1,0,0,,0
280,姐妹丘,0,,0,0,1,0,0,,0
281,污流,0,,0,0,1,0,0,,0
282,王立娜娜莫菜园,0,,0,0,1,0,0,,0
283,乌尔达哈调车库,0,,0,0,1,0,0,,0
284,亚拉戈繁星路,0,,0,0,1,0,0,,0
285,菲斯卡瞭望台,0,,0,0,1,0,0,,0
286,大霸王树,0,,0,0,1,0,0,,0
287,撒沟厉关,0,,0,0,1,0,0,,0
288,亚拉戈旭日路,0,,0,0,1,0,0,,0
289,金库灵柩亭,0,,0,0,1,0,0,,0
290,黑尘驿站,0,,0,0,1,0,0,,0
291,希拉狄哈遗迹,0,,0,0,1,0,0,,0
292,鼠巢,0,,0,0,1,0,0,,0
293,狱门蚁穴,0,,0,0,1,0,0,,0
294,无望流民街,0,,0,0,1,0,0,,0
295,狼烟丘,0,,0,0,1,0,0,,0
296,纳纳瓦银山,0,,0,0,1,0,0,,0
297,邪嗣,0,,0,0,1,0,0,,0
298,屈伊伯龙别宅遗迹,0,,0,0,1,0,0,,0
299,亚拉戈旭日路,0,,0,0,1,0,0,,0
300,枯骨营地,0,,0,0,1,0,0,,0
301,消逝王都,0,,0,0,1,0,0,,0
302,圣阿达玛·兰达玛教会,0,,0,0,1,0,0,,0
303,锥峰原,0,,0,0,1,0,0,,0
304,黄金集市,0,,0,0,1,0,0,,0
305,日影地修炼所,0,,0,0,1,0,0,,0
306,蜥蜴人军阵地,0,,0,0,1,0,0,,0
307,跨天桥,0,,0,0,1,0,0,,0
308,宇格拉姆河,0,,0,0,1,0,0,,0
309,札尔神祠,0,,0,0,1,0,0,,0
310,紫红瀑布,0,,0,0,1,0,0,,0
311,最终祈祷纪念地,0,,0,0,1,0,0,,0
312,喀恩埋没圣堂,0,,0,0,1,0,0,,0
313,小阿拉米格,0,,0,0,1,0,0,,0
314,火蜥蜴河,0,,0,0,1,0,0,,0
315,浪人坟,0,,0,0,1,0,0,,0
316,焚者群落,0,,0,0,1,0,0,,0
317,幽灵湖,0,,0,0,1,0,0,,0
318,赞拉克侧翼阵,0,,0,0,1,0,0,,0
319,赞拉克祭场,0,,0,0,1,0,0,,0
320,不悔战阵,0,,0,0,1,0,0,,0
321,纳尔神祠,0,,0,0,1,0,0,,0
322,牛魔里程,0,,0,0,1,0,0,,0
323,遗忘绿洲,0,,0,0,1,0,0,,0
324,工艺神击,0,,0,0,1,0,0,,0
325,蓝雾营地,0,,0,0,1,0,0,,0
326,东侧监视塔,0,,0,0,1,0,0,,0
327,西侧监视塔,0,,0,0,1,0,0,,0
328,艾玛吉娜秘银废矿,0,,0,0,1,0,0,,0
329,卫月爪痕,0,,0,0,1,0,0,,0
330,青磷泉,0,,0,0,1,0,0,,0
331,青磷精炼所,0,,0,0,1,0,0,,0
332,前门,0,,0,0,1,0,0,,0
333,帝国南方堡,0,,0,0,1,0,0,,0
334,锥峰原,0,,0,0,1,0,0,,0
335,魔列车停车场,0,,0,0,1,0,0,,0
336,飞空战舰着陆场,0,,0,0,1,0,0,,0
337,莫拉比造船厂,0,,0,0,1,0,0,,0
338,砂盐滩,0,,0,0,1,0,0,,0
339,守炬埠头,0,,0,0,1,0,0,,0
340,空心穴,0,,0,0,1,0,0,,0
341,奥修昂火炬,0,,0,0,1,0,0,,0
342,青磷水采掘场,0,,0,0,1,0,0,,0
343,静语庄园1层,0,,0,0,1,0,0,,0
344,静语庄园2层,0,,0,0,1,0,0,,0
345,静语庄园地窖,0,,0,0,1,0,0,,0
346,神勇队司令室,0,,0,0,1,0,0,,0
347,芙蓉圆桌,0,,0,0,1,0,0,,0
348,再生的残桩,0,,0,0,1,0,0,,0
349,帝国海上基地,0,,0,0,1,0,0,,0
350,拉诺西亚外地,0,,0,0,1,0,0,,0
351,提督室,0,,0,0,1,0,0,,0
352,利姆萨·罗敏萨会议室,0,,0,0,1,0,0,,0
353,利姆萨·罗敏萨演讲室,0,,0,0,1,0,0,,0
354,银胄团总长室,0,,0,0,1,0,0,,0
355,芳香堂,0,,0,0,1,0,0,,0
356,沙之家,0,,0,0,1,0,0,,0
357,炎帝陵,0,,0,0,1,0,0,,0
358,狼狱停船场,0,,0,0,1,0,0,,0
359,奥·哥摩罗火口神殿,0,,0,0,1,0,0,,0
360,荆棘之园,0,,0,0,1,0,0,,0
361,呼啸眼石塔群,0,,0,0,1,0,0,,0
362,海蛇巢穴,0,,0,0,1,0,0,,0
363,萨普沙产卵地,0,,0,0,1,0,0,,0
364,鱼人军阵营,0,,0,0,1,0,0,,0
365,隐秘港,0,,0,0,1,0,0,,0
366,温酒疗养院,0,,0,0,1,0,0,,0
367,,0,,0,0,0,0,0,,0
368,小麦酒港码头,0,,0,0,1,0,0,,0
369,,0,,0,0,0,0,0,,0
370,月牙湾码头,0,,0,0,1,0,0,,0
371,白银集市码头,0,,0,0,1,0,0,,0
372,地下2层,0,,0,0,1,0,0,,0
373,来生回廊,0,,0,0,1,0,0,,0
374,拂晓之间,0,,0,0,1,0,0,,0
375,二号打桩塔,0,,0,0,1,0,0,,0
376,三号打桩塔,0,,0,0,1,0,0,,0
377,樵鸣洞,0,,0,0,1,0,0,,0
378,以太之光广场,0,,0,0,1,0,0,,0
379,次元缝隙迎宾室,0,,0,0,1,0,0,,0
380,巨龙首,0,,0,0,1,0,0,,0
381,神意之地,0,,0,0,1,0,0,,0
382,巨石丘,0,,0,0,1,0,0,,0
383,白云崖,0,,0,0,1,0,0,,0
384,哈尔德拉斯行军道,0,,0,0,1,0,0,,0
385,阿德内尔占星台,0,,0,0,1,0,0,,0
386,狮鹫大桥,0,,0,0,1,0,0,,0
387,天火要塞群,0,,0,0,1,0,0,,0
388,巨龙首营地,0,,0,0,1,0,0,,0
389,落魔崖,0,,0,0,1,0,0,,0
390,钢卫塔,0,,0,0,1,0,0,,0
391,魔胃洞,0,,0,0,1,0,0,,0
392,圣人泪,0,,0,0,1,0,0,,0
393,风扬殖民地,0,,0,0,1,0,0,,0
394,黄金谷,0,,0,0,1,0,0,,0
395,七响走廊,0,,0,0,1,0,0,,0
396,秘石塔,0,,0,0,1,0,0,,0
397,战争神眼,0,,0,0,1,0,0,,0
398,圣人旅道,0,,0,0,1,0,0,,0
399,泽梅尔要塞,0,,0,0,1,0,0,,0
400,大审门,0,,0,0,1,0,0,,0
401,石卫塔,0,,0,0,1,0,0,,0
402,白云崖前哨,0,,0,0,1,0,0,,0
403,贝希摩斯的领地,0,,0,0,1,0,0,,0
404,披雪大冰壁,0,,0,0,1,0,0,,0
405,剑峰,0,,0,0,1,0,0,,0
406,云廊,0,,0,0,1,0,0,,0
407,云海,0,,0,0,1,0,0,,0
408,白狼门（中央林区西侧方面）,0,,0,0,1,0,0,,0
409,迷雾湿地,0,,0,0,1,0,0,,0
410,银泪湖北岸,0,,0,0,1,0,0,,0
411,丧灵钟,0,,0,0,1,0,0,,0
412,废弃营地,0,,0,0,1,0,0,,0
413,纠缠沼泽林,0,,0,0,1,0,0,,0
414,早霜顶,0,,0,0,1,0,0,,0
415,帝国中央堡,0,,0,0,1,0,0,,0
416,圣寇伊纳克调查地,0,,0,0,1,0,0,,0
417,歌咏裂谷,0,,0,0,1,0,0,,0
418,密约之塔,0,,0,0,1,0,0,,0
419,常影区<br>[长老树],0,,0,0,1,0,0,,0
420,水晶塔,0,,0,0,1,0,0,,0
421,银泪湖,0,,0,0,1,0,0,,0
422,勇敢之心号,0,,0,0,1,0,0,,0
423,接待处,0,,0,0,1,0,0,,0
424,狼狱水上竞技场码头,0,,0,0,1,0,0,,0
425,海雾村,0,,0,0,1,0,0,,0
426,薰衣草苗圃,0,,0,0,1,0,0,,0
427,高脚孤丘,0,,0,0,1,0,0,,0
428,阅兵场,0,,0,0,1,0,0,,0
429,天营路,0,,0,0,1,0,0,,0
430,天幕魔导城,0,,0,0,1,0,0,,0
431,废物处理场,0,,0,0,1,0,0,,0
432,地营路,0,,0,0,1,0,0,,0
433,第五封锁区,0,,0,0,1,0,0,,0
434,中央交叉路,0,,0,0,1,0,0,,0
435,魔列车停车场,0,,0,0,1,0,0,,0
436,军火库,0,,0,0,1,0,0,,0
437,飞空艇着陆场,0,,0,0,1,0,0,,0
438,青磷水汲取场,0,,0,0,1,0,0,,0
439,邓斯坦哨塔,0,,0,0,1,0,0,,0
440,天幕魔导城,0,,0,0,1,0,0,,0
441,顶层,0,,0,0,1,0,0,,0
442,管理层,0,,0,0,1,0,0,,0
443,防御层,0,,0,0,1,0,0,,0
444,主层,0,,0,0,1,0,0,,0
445,基层,0,,0,0,1,0,0,,0
446,工房层,0,,0,0,1,0,0,,0
447,飞空艇平台,0,,0,0,1,0,0,,0
448,对空防御区,0,,0,0,1,0,0,,0
449,魔导装甲库,0,,0,0,1,0,0,,0
450,外侧通路,0,,0,0,1,0,0,,0
451,军团长室,0,,0,0,1,0,0,,0
452,基部中枢区,0,,0,0,1,0,0,,0
453,斜行升降机,0,,0,0,1,0,0,,0
454,斯卡艾瓦研究室,0,,0,0,1,0,0,,0
455,魔导工房区,0,,0,0,1,0,0,,0
456,工房升降机,0,,0,0,1,0,0,,0
457,后营门,0,,0,0,1,0,0,,0
458,魔导兵器认证室,0,,0,0,1,0,0,,0
459,呼啸眼外围,0,,0,0,1,0,0,,0
460,莫拉比造船厂码头,0,,0,0,1,0,0,,0
461,幻影群岛码头,0,,0,0,1,0,0,,0
462,罗塔诺海,0,,0,0,1,0,0,,0
463,诸神黄昏级拘束舰,0,,0,0,1,0,0,,0
464,陨石勘查坑表层,0,,0,0,1,0,0,,0
465,陨石勘查坑深层,0,,0,0,1,0,0,,0
466,诸神黄昏级拘束舰,0,,0,0,1,0,0,,0
467,隔离壁,0,,0,0,1,0,0,,0
468,中枢区,0,,0,0,1,0,0,,0
469,第一舰桥,0,,0,0,1,0,0,,0
470,纳尔神祠领路人,0,,0,0,1,0,0,,0
471,牛魔里程领路人,0,,0,0,1,0,0,,0
472,沙之家,0,,0,0,1,0,0,,0
